,CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,NOMBRE_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,CASILLA,NUM_ACTA_IMPRESO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,MECANISMOS_TRASLADO,FECHA_HORA
33909,'094366B0100',094366B010032842,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4366,1,B,0,Urbana,2,304,32,3,2,1,6,43,0,1,2,0,3,1,0,1,0,0,0,1,0,8,408,595,Recuento (Para recuento (SRA)),I-D,09/06/2021 21:06:37
33910,'094366C0200',094366C020037097,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4366,2,C,0,Urbana,2,284,28,10,3,0,11,35,2,0,1,0,0,6,0,1,0,1,0,0,0,11,393,595,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:53
33911,'094366C0100',094366C010035999,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4366,1,C,0,Urbana,2,282,35,3,4,1,11,52,0,0,1,0,4,1,0,0,0,0,0,0,0,3,397,595,Recuento (Para recuento (SRA)),I-D,09/06/2021 17:06:55
33912,'094367B0100',094367B010032843,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4367,1,B,0,Urbana,2,273,29,2,1,2,10,37,0,0,3,0,4,2,0,0,0,0,0,0,1,6,370,504,Recuento (Para recuento (SRA)),I-D,09/06/2021 11:06:32
33913,'094367C0100',094367C010036237,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4367,1,C,0,Urbana,2,245,31,6,0,0,14,34,0,0,0,0,7,0,0,0,0,0,0,2,0,5,344,504,Recuento (Para recuento (SRA)),I-D,09/06/2021 18:06:41
33914,'094367C0200',094367C020036239,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4367,2,C,0,Urbana,2,258,26,6,2,0,10,28,0,0,0,0,5,0,0,0,0,0,0,0,0,7,342,503,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:39
33915,'094368B0100',094368B010032844,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4368,1,B,0,Urbana,2,301,38,13,4,3,12,40,1,0,8,0,4,0,1,0,2,0,0,0,1,6,434,674,Cotejo (Levantada en Casilla),I-D,09/06/2021 13:06:06
33916,'094368C0100',094368C010037098,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4368,1,C,0,Urbana,2,295,43,5,4,0,14,52,1,3,2,0,1,0,0,0,0,0,0,0,0,6,426,673,Recuento (Para recuento (SRA)),I-D,09/06/2021 11:06:53
33917,'094369B0100',094369B010032845,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4369,1,B,0,Urbana,2,293,37,10,2,1,7,65,1,0,5,0,3,3,0,0,0,0,0,0,2,6,435,683,Recuento (Para recuento (SRA)),I-D,10/06/2021 01:06:51
33918,'094369C0100',094369C010037099,9,CIUDAD DE MÉXICO,15,BENITO JUAREZ,4369,1,C,0,Urbana,2,296,46,6,4,3,10,65,1,0,1,0,3,0,0,0,0,0,0,0,1,5,441,682,Recuento (Para recuento (SRA)),I-D,09/06/2021 11:06:40
